Txn ID,Date,Amount,Type,Memo
txn-2001,2024-01-05,250.00,credit,Customer refund
txn-2002,2024-01-06,1899.50,debit,
txn-2003,2024-01-06,15400.00,debit,Equipment purchase
txn-2004,2024-01-07,89.99,credit,Subscription renewal
txn-2005,2024-01-08,12500.00,debit,
txn-2006,2024-01-08,340.00,credit,Partner payout
txn-2003,2024-01-09,275.00,debit,Office supplies
txn-2007,13/45/2024,500.00,debit,Travel reimbursement
txn-2008,2024-01-10,99.00,credit,
txn-2009,2024-01-11,42000.00,debit,
txn-2010,2024-01-12,610.25,credit,Affiliate commission
txn-2011,2024-01-12,75.00,refund,Customer return
